Other Technicians and Trades Workers
"Farm, Forestry and Garden Workers"
"Chief Executives, General Managers and Legislators"
AFSA
"Business, Human Resource and Marketing Professionals"
Skilled Animal and Horticultural Workers
Other Clerical and Administrative Workers
Hospitality Workers
"Hospitality, Retail and Service Managers"
Sports and Personal Service Workers
Construction Trades Workers
Other Labourers
Road and Rail Drivers
Numerical Clerks
Food Trades Workers
Protective Service Workers
Food Preparation Assistants
Sales Representatives and Agents
"Engineering, ICT and Science Technicians"
ICT Professionals
Sales Assistants and Salespersons
"Design, Engineering, Science and Transport Professionals"
Carers and Aides
Cleaners and Laundry Workers
Automotive and Engineering Trades Workers
Specialist Managers
Office Managers and Program Administrators
Machine and Stationary Plant Operators
"Legal, Social and Welfare Professionals"
Electrotechnology and Telecommunications Trades Workers
Clerical and Office Support Workers
Health Professionals
Mobile Plant Operators
Factory Process Workers
Sales Support Workers
Construction and Mining Labourers
Health and Welfare Support Workers
Education Professionals
General Clerical Workers
Personal Assistants and Secretaries
Arts and Media Professionals
Storepersons
Inquiry Clerks and Receptionists
Farmers and Farm Managers
